matchid;journee;stade;spectateurs;date;home_team;away_team;home_goal;away_goal;home_possession;away_possession;home_duels_gagnes;away_duel_gagnes;home_duel_aeriens_gagnes;away_duel_aeriens_gagnes;home_interceptions;away_interceptions;home_hors_jeux;away_hors_eux;home_corners_won;away_corners_won;home_passes;away_passes;home_centres;away_centres;home_tirs;away_tirs;home_tirs_cadres;away_tirs_cadres;home_carton_jaune;away_carton_jaune;home_carton_rouge;away_carton_rouge;home_formation;away_formation;date_str;home_win;total_tirs;diff_possession
70850;Journée 10;STADE RAYMOND-KOPA;7970.0;;ANGERS SCO;RC STRASBOURG ALSACE;2;3;54.5;45.5;50,4;49,6;45,5;54,5;10.0;7.0;1.0;3.0;6.0;6.0;524.0;425.0;14.0;26.0;14;15;8;7;1.0;1.0;0.0;0.0;2-2-2-2-2;5-3-2;9 OCTOBRE 2022- 15:00;0;29;9.0
70851;Journée 10;STADE FRANCIS-LE BLÉ;9819.0;;STADE BRESTOIS 29;FC LORIENT;1;2;50.3;49.7;48,2;51,8;31,6;68,4;10.0;15.0;0.0;1.0;7.0;8.0;437.0;445.0;34.0;20.0;11;14;4;5;3.0;1.0;0.0;0.0;2-2-2-2-2;3-2-2-2-1;9 OCTOBRE 2022- 15:00;0;25;0.5999999999999943
70852;Journée 10;STADE GABRIEL-MONTPIED;11119.0;;CLERMONT FOOT 63;AJ AUXERRE;2;1;47.9;52.1;60,2;39,8;58,8;41,2;7.0;12.0;5.0;0.0;4.0;4.0;395.0;431.0;19.0;17.0;10;14;6;5;0.0;0.0;0.0;0.0;3-2-2-2-1;4-1-2-2-1;9 OCTOBRE 2022- 15:00;1;24;-4.200000000000003
70853;Journée 10;DECATHLON ARENA  STADE PIERRE-MAUROY;48527.0;;LOSC LILLE;RC LENS;1;0;45.3;54.7;43,1;56,9;41,7;58,3;13.0;9.0;0.0;2.0;5.0;9.0;366.0;432.0;13.0;20.0;12;10;6;3;3.0;5.0;0.0;0.0;2-2-2-3-1;2-2-2-3-1;9 OCTOBRE 2022- 20:45;1;22;-9.400000000000006
70854;Journée 10;GROUPAMA STADIUM;41495.0;;OLYMPIQUE LYONNAIS;TOULOUSE FC;1;1;58.0;42.0;57;43;64;36;7.0;10.0;2.0;1.0;4.0;5.0;556.0;399.0;13.0;14.0;19;5;8;2;2.0;2.0;0.0;0.0;2-2-2-3-1;2-2-1-2-2-1;7 OCTOBRE 2022- 21:00;0;24;16.0
70855;Journée 10;ORANGE VÉLODROME;63312.0;;OLYMPIQUE DE MARSEILLE;AC AJACCIO;1;2;65.2;34.8;50;50;48,6;51,4;16.0;16.0;2.0;1.0;11.0;2.0;547.0;296.0;26.0;11.0;10;6;2;1;0.0;2.0;0.0;0.0;3-2-2-2-1;2-2-2-2-2;8 OCTOBRE 2022- 17:00;0;16;30.400000000000006
70856;Journée 10;STADE DE LA MOSSON ET DU MONDIAL 98;13048.0;;MONTPELLIER HÉRAULT SC;AS MONACO;0;2;50.7;49.3;53,8;46,2;43,5;56,5;14.0;11.0;1.0;0.0;7.0;2.0;411.0;413.0;24.0;16.0;11;11;1;7;2.0;3.0;0.0;0.0;2-2-2-3-1;2-2-2-2-2;9 OCTOBRE 2022- 13:00;0;22;1.4000000000000057
70857;Journée 10;ALLIANZ RIVIERA;18053.0;;OGC NICE;ESTAC TROYES;3;2;60.9;39.1;56,2;43,8;47,6;52,4;7.0;11.0;0.0;0.0;6.0;5.0;615.0;375.0;15.0;24.0;14;17;6;6;1.0;1.0;0.0;0.0;3-2-2-2-1;2-2-2-3-1;9 OCTOBRE 2022- 15:00;1;31;21.799999999999997
70858;Journée 10;STADE AUGUSTE-DELAUNE;20543.0;;STADE DE REIMS;PARIS SAINT-GERMAIN;0;0;36.5;63.5;44,6;55,4;46,2;53,8;15.0;8.0;3.0;0.0;7.0;3.0;339.0;613.0;16.0;6.0;24;11;4;3;3.0;5.0;0.0;1.0;3-5-2;2-2-2-3-1;8 OCTOBRE 2022- 21:00;0;35;-27.0
70859;Journée 10;ROAZHON PARK;27844.0;;STADE RENNAIS FC;FC NANTES;3;0;57.8;42.2;48;52;47,4;52,6;5.0;5.0;2.0;3.0;4.0;3.0;474.0;338.0;12.0;17.0;14;8;4;3;1.0;0.0;1.0;0.0;2-2-2-2-2;3-2-2-2-1;9 OCTOBRE 2022- 17:05;1;22;15.599999999999994
